"Age","Overall","Potential","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Body.Type","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","Release.Clause","attack_Work.Rate","defend_Work.Rate","PositionGroup","cluster"
23,77,83,10500,10,1670,"1",1,2,2,"1",193.04,176,54,54,54,51,52,52,52,51,54,54,54,55,61,61,61,55,68,73,73,73,68,72,78,78,78,72,32,37,79,71,32,42,40,31,63,53,64,72,51,70,41,50,70,79,80,30,76,75,32,51,47,72,79,82,78,14,8,12,16,13,23100,"1","2","DEF",3
28,77,78,8000,23,1536,"1",1,3,2,"3",185.42,190,53,53,53,44,49,49,49,44,50,50,50,49,61,61,61,49,64,74,74,74,64,67,77,77,77,67,21,23,81,73,23,34,49,31,68,68,32,35,31,79,32,66,65,71,88,22,81,78,36,35,42,69,61,81,80,12,9,8,13,8,17400,"2","2","DEF",3
28,77,77,7000,14,1500,"1",1,2,2,"1",193.04,190,50,50,50,47,48,48,48,47,49,49,49,50,57,57,57,50,65,71,71,71,65,68,77,77,77,68,34,34,78,58,29,44,28,31,58,57,47,47,32,73,32,41,30,64,88,38,79,77,21,47,38,59,80,80,79,15,13,6,11,11,14000,"2","2","DEF",3
30,77,77,6500,30,1651,"1",2,4,2,"2",182.88,181,52,52,52,53,52,52,52,53,54,54,54,56,60,60,60,56,69,73,73,73,69,72,78,78,78,72,49,25,77,69,36,42,28,31,62,69,57,68,60,64,61,28,73,65,78,41,82,78,39,40,43,73,77,79,77,6,8,12,16,11,12400,"2","2","DEF",3
23,77,82,10000,35,1555,"1",2,2,2,"1",190.5,187,49,49,49,47,47,47,47,47,47,47,47,49,52,52,52,49,65,68,68,68,65,69,78,78,78,69,34,21,77,57,36,45,33,29,50,52,66,69,46,74,40,40,71,54,81,26,79,81,25,31,45,68,78,79,78,15,11,11,10,11,17800,"2","2","DEF",3
32,77,77,5000,20,1554,"1",3,3,2,"2",190.5,176,50,50,50,44,46,46,46,44,45,45,45,47,54,54,54,47,65,70,70,70,65,68,79,79,79,68,30,16,76,54,30,48,48,35,58,52,54,34,34,73,38,60,78,73,88,44,79,81,28,18,35,74,74,81,80,10,6,15,10,14,10800,"1","3","DEF",3
31,77,77,6000,30,1560,"1",2,3,2,"2",190.5,198,50,50,50,45,47,47,47,45,47,47,47,47,53,53,53,47,63,68,68,68,63,67,78,78,78,67,11,20,72,50,20,52,23,39,54,54,61,67,54,70,54,61,83,63,92,37,74,78,19,34,46,76,80,80,78,6,5,5,11,7,10200,"2","3","DEF",3
28,77,78,8000,24,1663,"1",1,3,2,"2",185.42,165,55,55,55,52,53,53,53,52,54,54,54,55,60,60,60,55,68,72,72,72,68,70,78,78,78,70,43,49,73,70,29,36,38,35,57,58,54,63,50,67,59,40,78,76,80,30,89,76,44,46,32,70,78,79,76,14,12,13,9,10,17400,"2","3","DEF",3
21,77,84,11000,22,1624,"1",1,3,2,"1",193.04,172,56,56,56,52,54,54,54,52,54,54,54,55,60,60,60,55,66,71,71,71,66,68,77,77,77,68,28,36,85,68,31,50,34,26,52,57,57,59,46,70,33,45,83,75,82,29,76,78,47,45,49,73,75,77,70,15,11,10,14,11,25300,"2","2","DEF",3
27,77,78,8500,27,1561,"1",1,3,2,"2",190.5,187,54,54,54,51,54,54,54,51,56,56,56,55,64,64,64,55,68,74,74,74,68,70,77,77,77,70,35,35,81,79,13,38,28,35,60,70,41,63,32,72,33,48,70,71,78,27,79,75,32,54,37,65,65,81,78,11,8,11,8,13,18500,"1","3","DEF",3
21,77,86,12000,46,1638,"1",2,3,2,"1",193.04,203,54,54,54,51,52,52,52,51,52,52,52,54,58,58,58,54,68,71,71,71,68,71,77,77,77,71,37,30,74,64,48,43,32,34,59,60,64,68,46,68,48,50,73,69,83,31,77,78,38,40,44,72,76,78,80,10,7,6,14,9,25200,"2","2","DEF",3
30,77,77,6500,18,1650,"1",1,2,2,"2",187.96,185,54,54,54,51,51,51,51,51,52,52,52,55,60,60,60,55,69,73,73,73,69,71,77,77,77,71,42,29,74,66,28,48,36,30,69,64,63,59,56,66,42,65,54,80,88,41,82,76,26,32,47,68,83,77,72,13,16,11,6,9,12400,"2","2","DEF",3
27,77,80,9000,58,1660,"1",1,4,2,"2",195.58,214,56,56,56,54,54,54,54,54,56,56,56,57,60,60,60,57,68,72,72,72,68,70,78,78,78,70,50,32,75,70,23,48,43,35,58,60,57,69,55,71,45,52,62,58,93,21,79,76,43,52,56,76,72,78,78,7,8,15,10,9,17800,"2","2","DEF",3
29,76,76,6000,42,1576,"1",2,2,2,"2",190.5,183,49,49,49,47,49,49,49,47,52,52,52,51,59,59,59,51,64,72,72,72,64,67,77,77,77,67,23,26,77,68,21,39,49,40,58,65,47,50,48,71,48,27,76,65,78,29,79,76,36,44,42,71,76,78,77,12,12,13,14,12,11400,"2","3","DEF",3
30,76,76,5500,24,1488,"1",2,3,2,"2",190.5,187,48,48,48,44,45,45,45,44,47,47,47,47,53,53,53,47,62,68,68,68,62,66,76,76,76,66,32,22,82,64,22,35,23,22,57,47,51,55,51,74,46,48,65,53,83,24,73,68,25,40,38,67,77,81,78,8,6,14,15,9,9400,"2","2","DEF",3
26,76,79,8000,36,1600,"1",2,4,2,"1",190.5,170,55,55,55,49,51,51,51,49,52,52,52,51,60,60,60,51,64,71,71,71,64,67,76,76,76,67,30,38,79,66,28,42,33,39,69,57,50,46,52,74,49,58,67,61,78,35,68,79,37,39,37,71,76,79,75,14,10,16,10,9,14200,"2","2","DEF",3
28,76,76,6000,13,1594,"1",1,2,2,"2",182.88,163,48,48,48,48,47,47,47,48,50,50,50,52,57,57,57,52,67,71,71,71,67,70,77,77,77,70,37,24,77,63,28,44,27,27,64,55,66,64,64,71,68,35,90,66,71,22,73,79,20,43,35,70,82,79,74,6,16,6,10,8,12000,"2","3","DEF",3
27,76,78,7500,45,1547,"0",1,2,2,"1",187.96,176,50,50,50,44,45,45,45,44,43,43,43,46,47,47,47,46,63,64,64,64,63,68,76,76,76,68,32,26,82,41,33,39,33,34,37,49,66,69,43,73,47,49,79,60,78,22,80,76,27,33,49,70,75,78,80,14,7,14,9,13,13300,"2","3","DEF",3
26,76,81,8500,36,1603,"1",1,4,2,"2",182.88,172,50,50,50,51,51,51,51,51,52,52,52,53,57,57,57,53,68,71,71,71,68,71,77,77,77,71,35,19,74,60,20,53,26,26,57,67,68,68,65,76,60,50,72,63,73,44,78,78,16,33,37,76,77,79,78,12,6,10,11,12,15100,"2","2","DEF",3
33,76,76,4800,76,1599,"1",3,3,3,"2",193.04,203,78,78,78,68,74,74,74,68,72,72,72,66,67,67,67,66,47,54,54,54,47,45,52,52,52,45,44,79,90,73,81,67,57,40,49,80,29,32,33,80,30,79,55,44,86,64,71,25,84,70,70,82,34,25,15,2,2,3,4,2,8900,"2","2","FWD",3
31,76,76,5000,1,1612,"1",2,3,2,"2",187.96,187,53,53,53,49,51,51,51,49,54,54,54,53,62,62,62,53,65,73,73,73,65,68,76,76,76,68,40,32,76,69,32,35,43,48,72,58,48,52,40,68,42,53,55,66,87,42,76,74,36,59,38,67,75,80,75,7,11,6,7,10,11000,"2","2","DEF",3
28,76,78,7500,25,1611,"0",1,3,2,"2",187.96,192,52,52,52,53,51,51,51,53,52,52,52,56,59,59,59,56,70,72,72,72,70,72,76,76,76,72,60,26,77,66,32,56,55,36,60,64,63,49,46,74,44,48,33,69,83,29,78,78,28,30,44,64,74,78,78,9,16,9,8,11,13300,"1","2","DEF",3
30,76,76,5500,13,1529,"1",1,2,2,"3",190.5,196,51,51,51,45,47,47,47,45,48,48,48,48,57,57,57,48,62,70,70,70,62,64,77,77,77,64,30,25,82,61,20,51,25,33,63,60,35,33,33,70,34,59,77,64,91,40,76,76,23,32,42,67,77,78,70,15,12,13,14,15,7700,"1","3","DEF",3
25,76,81,8500,10,1550,"0",1,2,2,"2",190.5,194,55,55,55,50,53,53,53,50,52,52,52,52,58,58,58,52,66,71,71,71,66,68,76,76,76,68,29,35,71,67,23,54,29,35,42,63,48,47,42,73,33,68,37,76,90,37,81,78,32,35,43,75,75,79,73,15,8,11,11,10,18500,"2","2","DEF",3
30,76,76,5500,21,1588,"0",2,3,2,"1",193.04,185,51,51,51,47,48,48,48,47,50,50,50,51,58,58,58,51,65,72,72,72,65,68,76,76,76,68,42,22,75,69,18,31,39,34,68,67,51,53,52,69,50,64,67,55,82,28,72,78,28,37,55,73,77,76,74,13,7,11,14,10,11000,"2","2","DEF",3
28,76,76,6000,31,1631,"1",2,3,2,"2",185.42,187,52,52,52,48,49,49,49,48,51,51,51,50,57,57,57,50,65,70,70,70,65,68,76,76,76,68,38,24,74,63,42,35,32,28,59,58,53,61,54,73,61,59,65,61,83,45,87,75,33,41,39,63,74,76,74,11,11,15,15,12,10200,"2","2","DEF",3
24,76,80,8500,25,1579,"1",1,3,2,"2",185.42,183,50,50,50,51,52,52,52,51,54,54,54,55,60,60,60,55,67,72,72,72,67,69,76,76,76,69,28,22,71,67,25,58,25,22,60,60,65,68,62,68,59,42,72,69,77,18,79,77,30,48,36,68,76,79,76,6,10,6,7,11,15100,"2","2","DEF",3
30,76,76,5500,47,1559,"1",2,3,2,"1",195.58,179,50,50,50,49,51,51,51,49,54,54,54,53,62,62,62,53,66,72,72,72,66,67,76,76,76,67,45,22,75,67,24,58,30,34,65,66,31,39,44,65,31,59,74,61,80,31,68,80,24,56,34,69,75,80,76,12,15,11,12,15,9400,"1","2","DEF",3
22,76,81,8500,25,1643,"1",1,3,2,"1",190.5,196,53,53,53,51,53,53,53,51,55,55,55,55,62,62,62,55,67,73,73,73,67,69,77,77,77,69,33,26,74,71,26,44,31,28,69,63,62,65,54,66,56,60,71,64,84,27,73,75,32,55,34,59,73,80,78,13,15,14,16,11,15100,"2","2","DEF",3
27,76,78,7500,38,1662,"1",1,3,2,"2",195.58,190,57,57,57,54,56,56,56,54,57,57,57,56,62,62,62,56,67,72,72,72,67,69,77,77,77,69,29,29,73,67,41,62,49,40,59,66,54,68,53,69,31,68,54,68,90,50,80,75,28,50,39,69,77,77,75,9,5,14,6,7,14800,"2","2","DEF",3
26,76,80,8500,1,1598,"1",1,2,2,"1",195.58,192,51,51,51,47,48,48,48,47,48,48,48,51,56,56,56,51,67,70,70,70,67,70,76,76,76,70,36,40,73,57,34,31,34,27,64,42,69,74,41,72,36,48,71,79,86,30,68,82,24,51,36,75,79,78,74,15,13,12,15,7,18500,"2","2","DEF",3
32,76,76,4400,21,1632,"1",2,3,2,"2",182.88,179,52,52,52,49,51,51,51,49,53,53,53,52,60,60,60,52,65,72,72,72,65,67,76,76,76,67,35,26,79,63,28,49,33,48,59,61,38,36,59,74,63,50,81,73,78,29,82,78,40,49,47,71,75,74,78,11,7,11,7,11,9300,"2","2","DEF",3
22,76,83,9500,21,1649,"1",1,3,2,"2",182.88,170,53,53,53,53,54,54,54,53,57,57,57,57,64,64,64,57,68,74,74,74,68,70,76,76,76,70,39,23,76,72,30,52,31,24,73,66,61,58,55,75,64,45,80,67,76,31,67,76,37,47,37,73,80,75,73,15,7,15,11,11,18100,"2","2","DEF",3
33,76,76,3100,38,1605,"1",2,3,2,"2",187.96,196,56,56,56,51,54,54,54,51,54,54,54,53,59,59,59,53,65,71,71,71,65,69,76,76,76,69,25,35,76,62,33,43,26,25,55,64,60,62,61,74,50,49,76,70,83,34,69,78,42,43,33,72,76,76,74,7,9,10,15,10,5900,"2","3","DEF",3
21,76,83,9500,11,1607,"1",1,2,2,"3",182.88,196,55,55,55,53,54,54,54,53,53,53,53,55,58,58,58,55,67,70,70,70,67,69,77,77,77,69,35,28,76,65,32,56,29,28,47,69,66,66,40,70,54,48,84,65,87,27,76,74,35,34,47,69,71,79,73,11,6,14,9,6,21900,"2","2","DEF",3
24,76,80,8500,18,1525,"1",1,2,2,"1",187.96,183,49,49,49,48,47,47,47,48,48,48,48,50,54,54,54,50,66,68,68,68,66,68,76,76,76,68,34,18,73,62,15,50,20,18,54,55,62,68,61,72,41,48,76,65,88,38,75,75,22,22,35,62,74,78,74,13,10,9,9,11,18500,"2","3","DEF",3
26,76,77,7500,24,1643,"1",1,2,2,"2",193.04,194,56,56,56,51,53,53,53,51,53,53,53,54,60,60,60,54,67,72,72,72,67,69,77,77,77,69,43,34,81,66,37,49,33,40,66,54,53,61,49,76,40,65,64,62,85,30,68,81,33,47,43,75,73,81,71,7,16,8,13,14,14100,"2","2","DEF",3
20,76,84,10000,26,1662,"0",1,3,2,"1",193.04,172,57,57,57,55,57,57,57,55,58,58,58,58,62,62,62,58,69,73,73,73,69,71,77,77,77,71,35,33,78,71,18,49,34,31,59,70,63,74,64,75,60,62,68,64,77,35,69,78,35,46,38,70,77,79,71,6,10,10,9,14,19000,"2","2","DEF",3
27,76,78,7500,31,1478,"1",1,2,2,"2",193.04,209,44,44,44,42,44,44,44,42,46,46,46,47,54,54,54,47,62,70,70,70,62,66,76,76,76,66,18,17,77,59,23,37,35,29,54,63,49,55,45,65,51,27,75,73,85,15,83,71,20,41,30,60,76,78,76,14,14,5,10,8,14800,"2","2","DEF",3
32,76,76,4400,16,1409,"1",2,3,1,"2",182.88,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,12,52,14,27,14,14,61,35,59,60,69,73,63,24,84,45,68,12,40,12,13,70,24,69,21,15,20,76,71,82,77,76,7500,"2","2","GK",3
25,76,81,8500,28,1615,"0",1,3,2,"2",190.5,192,52,52,52,51,50,50,50,51,51,51,51,54,57,57,57,54,69,71,71,71,69,71,77,77,77,71,44,28,78,67,24,42,38,37,60,60,60,79,59,71,44,41,65,79,87,31,82,68,28,32,33,68,75,75,79,8,7,7,14,13,15100,"2","3","DEF",3
30,76,76,5500,16,1651,"1",1,3,2,"2",190.5,194,54,54,54,52,52,52,52,52,52,52,52,54,57,57,57,54,66,69,69,69,66,68,76,76,76,68,55,31,75,61,44,49,38,39,62,54,61,67,44,67,41,55,57,52,89,44,88,71,34,43,51,74,81,77,71,9,7,13,9,12,10500,"2","2","DEF",3
27,76,78,7500,21,1661,"1",1,2,2,"1",187.96,181,56,56,56,55,56,56,56,55,57,57,57,58,61,61,61,58,69,71,71,71,69,71,76,76,76,71,36,25,77,73,36,60,33,29,49,71,66,69,53,72,48,61,85,74,80,29,71,72,30,41,45,67,71,77,76,14,8,11,12,7,16300,"2","3","DEF",3
33,75,75,2700,13,1535,"0",2,3,2,"1",187.96,165,50,50,50,46,49,49,49,46,50,50,50,49,58,58,58,49,63,70,70,70,63,66,75,75,75,66,34,20,74,62,19,44,49,21,64,60,38,41,49,72,63,68,69,48,67,40,70,81,29,46,35,68,77,80,76,11,6,8,9,5,4900,"1","2","DEF",3
26,75,78,7000,13,1613,"0",1,2,2,"2",187.96,181,54,54,54,51,52,52,52,51,51,51,51,53,55,55,55,53,67,68,68,68,67,70,76,76,76,70,31,39,73,58,26,48,25,27,43,56,65,68,60,74,57,48,83,78,76,37,72,79,32,33,31,59,75,76,79,12,14,11,12,15,14500,"2","3","DEF",3
25,75,78,7000,36,1612,"1",2,3,2,"2",193.04,174,56,56,56,53,55,55,55,53,57,57,57,56,63,63,63,56,65,71,71,71,65,67,75,75,75,67,40,43,79,70,27,55,27,31,60,62,37,43,57,73,43,45,80,72,84,39,66,72,42,49,34,67,77,75,69,13,9,13,13,13,13800,"2","3","DEF",3
21,75,83,8500,14,1482,"1",1,3,2,"2",185.42,179,48,48,48,47,48,48,48,47,49,49,49,50,54,54,54,50,66,69,69,69,66,69,75,75,75,69,29,16,76,74,21,35,27,22,33,71,66,68,44,65,60,39,72,67,78,17,74,79,23,30,31,56,62,77,76,9,9,15,6,11,19600,"2","2","DEF",3
23,75,78,7000,11,1628,"1",1,2,2,"2",187.96,168,51,51,51,49,50,50,50,49,52,52,52,54,60,60,60,54,67,72,72,72,67,70,76,76,76,70,42,23,76,68,29,44,30,36,74,59,60,67,50,70,54,64,70,68,77,30,73,74,18,45,54,66,75,79,76,8,9,8,9,9,10300,"1","2","DEF",3
24,75,79,7500,17,1470,"1",1,2,2,"2",193.04,183,51,51,51,46,47,47,47,46,47,47,47,49,54,54,54,49,63,68,68,68,63,66,76,76,76,66,41,28,75,66,31,40,29,27,51,57,45,48,31,72,32,56,68,56,92,24,75,68,28,30,20,69,76,77,73,7,12,7,16,12,16300,"1","3","DEF",3
32,75,75,3800,35,1606,"1",2,3,2,"2",187.96,170,52,52,52,49,52,52,52,49,54,54,54,52,62,62,62,52,64,72,72,72,64,66,76,76,76,66,44,20,74,68,37,47,46,44,66,66,34,32,34,68,36,62,67,54,81,48,75,76,45,47,48,73,74,80,74,14,8,16,6,15,7300,"1","2","DEF",3
37,75,75,900,18,1490,"1",2,3,2,"2",182.88,185,48,48,48,45,45,45,45,45,47,47,47,47,55,55,55,47,62,68,68,68,62,64,76,76,76,64,58,23,74,60,19,41,38,29,61,51,33,30,34,68,48,60,74,34,77,53,80,79,27,41,49,77,82,78,74,3,3,3,3,3,1900,"1","3","DEF",3
29,75,75,5000,24,1588,"1",1,3,2,"3",185.42,179,52,52,52,51,51,51,51,51,53,53,53,54,58,58,58,54,67,70,70,70,67,70,76,76,76,70,40,26,77,70,32,48,28,32,55,59,57,66,54,72,45,47,79,61,73,24,74,74,35,39,37,67,72,79,80,15,9,7,8,14,10500,"2","2","DEF",3
21,75,85,9500,13,1592,"1",1,2,2,"2",182.88,170,52,52,52,49,51,51,51,49,50,50,50,52,55,55,55,52,67,69,69,69,67,70,76,76,76,70,35,27,78,62,35,36,31,35,31,68,67,60,41,72,74,45,75,79,77,28,71,75,35,40,42,61,78,78,71,6,8,12,7,13,15200,"2","3","DEF",3
26,75,79,7000,40,1431,"0",1,3,2,"2",187.96,181,46,46,46,43,44,44,44,43,45,45,45,46,53,53,53,46,62,69,69,69,62,65,75,75,75,65,14,21,70,60,15,38,18,23,64,60,67,52,48,70,44,33,77,57,82,18,75,76,22,20,28,68,75,78,76,9,16,6,10,9,12400,"2","2","DEF",3
31,75,75,4500,20,1656,"1",2,2,2,"3",182.88,192,49,49,49,48,48,48,48,48,52,52,52,52,60,60,60,52,65,71,71,71,65,68,75,75,75,68,43,22,75,65,19,35,48,58,65,63,52,54,62,70,60,45,72,68,86,45,78,73,21,53,49,71,73,75,74,6,10,16,6,15,9000,"2","2","DEF",3
23,75,81,8000,17,1661,"1",1,3,2,"2",185.42,165,54,54,54,52,52,52,52,52,53,53,53,55,58,58,58,55,67,70,70,70,67,69,76,76,76,69,38,36,72,60,36,48,36,27,62,61,67,67,65,70,59,52,83,69,78,34,84,75,28,44,32,66,77,74,76,11,7,13,14,6,18400,"1","3","DEF",3
35,75,75,1600,11,1392,"1",2,3,2,"1",193.04,198,50,50,50,40,43,43,43,40,40,40,40,41,46,46,46,41,56,63,63,63,56,60,75,75,75,60,25,36,78,45,35,45,19,18,45,49,32,46,32,60,32,72,68,33,93,22,73,79,20,25,33,73,76,78,74,8,7,10,10,14,2700,"2","3","DEF",3
